nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Turcja",2024,"pierwsza po³owa roku",908902,0.2754
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Turcja",2023,"pierwsza po³owa roku",697383,0.2972
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Egipt",2024,"pierwsza po³owa roku",704379,0.2134
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Egipt",2023,"pierwsza po³owa roku",408698,0.1742
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Grecja",2024,"pierwsza po³owa roku",514078,0.1558
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Grecja",2023,"pierwsza po³owa roku",402495,0.1716
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Hiszpania",2024,"pierwsza po³owa roku",301397,0.0913
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Hiszpania",2023,"pierwsza po³owa roku",237805,0.1014
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Tunezja",2024,"pierwsza po³owa roku",169192,0.0513
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Tunezja",2023,"pierwsza po³owa roku",100646,0.0429
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Bu³garia",2024,"pierwsza po³owa roku",62383,0.0189
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Bu³garia",2023,"pierwsza po³owa roku",82776,0.0353
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Albania",2024,"pierwsza po³owa roku",52140,0.0158
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Albania",2023,"pierwsza po³owa roku",35726,0.0152
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","W³ochy",2024,"pierwsza po³owa roku",50143,0.0152
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","W³ochy",2023,"pierwsza po³owa roku",22207,0.0095
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Austria",2024,"pierwsza po³owa roku",49617,0.0150
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Austria",2023,"pierwsza po³owa roku",18585,0.0079
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Cypr",2024,"pierwsza po³owa roku",49138,0.0149
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Cypr",2023,"pierwsza po³owa roku",42436,0.0181
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Wielka Brytania",2024,"pierwsza po³owa roku",47699,0.0145
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Wielka Brytania",2023,"pierwsza po³owa roku",5537,0.0024
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Portugalia",2024,"pierwsza po³owa roku",41613,0.0126
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Portugalia",2023,"pierwsza po³owa roku",29719,0.0127
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Tajlandia",2024,"pierwsza po³owa roku",40422,0.0122
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Tajlandia",2023,"pierwsza po³owa roku",23897,0.0102
