nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Wielka Brytania",2024,"pierwsza po³owa roku",3765259,0.1746
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Wielka Brytania",2023,"pierwsza po³owa roku",3801714,0.1997
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","W³ochy",2024,"pierwsza po³owa roku",2335409,0.1083
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","W³ochy",2023,"pierwsza po³owa roku",1815515,0.0954
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Hiszpania",2024,"pierwsza po³owa roku",2075076,0.0962
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Hiszpania",2023,"pierwsza po³owa roku",1250903,0.0657
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Niemcy",2024,"pierwsza po³owa roku",1949335,0.0904
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Niemcy",2023,"pierwsza po³owa roku",1783645,0.0937
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Norwegia",2024,"pierwsza po³owa roku",1176914,0.0546
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Norwegia",2023,"pierwsza po³owa roku",1096738,0.0576
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Holandia",2024,"pierwsza po³owa roku",956846,0.0444
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Holandia",2023,"pierwsza po³owa roku",839796,0.0441
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Francja",2024,"pierwsza po³owa roku",898403,0.0417
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Francja",2023,"pierwsza po³owa roku",836001,0.0439
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Dania",2024,"pierwsza po³owa roku",668925,0.031
