nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Londyn",2024,"pierwsza po³owa roku",2334332,0.1083
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Londyn",2023,"pierwsza po³owa roku",2328996,0.1223
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Oslo",2024,"pierwsza po³owa roku",768635,0.0356
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Oslo",2023,"pierwsza po³owa roku",753633,0.0396
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Frankfurt",2024,"pierwsza po³owa roku",713309,0.0331
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Frankfurt",2023,"pierwsza po³owa roku",623710,0.0328
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Pary¿",2024,"pierwsza po³owa roku",634136,0.0294
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Pary¿",2023,"pierwsza po³owa roku",602950,0.0317
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Mediolan",2024,"pierwsza po³owa roku",631607,0.0293
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Mediolan",2023,"pierwsza po³owa roku",494456,0.0260
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Amsterdam",2024,"pierwsza po³owa roku",611260,0.0283
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Amsterdam",2023,"pierwsza po³owa roku",471227,0.0248
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Rzym",2024,"pierwsza po³owa roku",602930,0.0280
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Rzym",2023,"pierwsza po³owa roku",373906,0.0196
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Barcelona",2024,"pierwsza po³owa roku",554050,0.0257
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Barcelona",2023,"pierwsza po³owa roku",380297,0.0200
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Kopenhaga",2024,"pierwsza po³owa roku",551346,0.0256
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Kopenhaga",2023,"pierwsza po³owa roku",332472,0.0175
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Monachium",2024,"pierwsza po³owa roku",527480,0.0245
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Monachium",2023,"pierwsza po³owa roku",423118,0.0222
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Sztokholm",2024,"pierwsza po³owa roku",443388,0.0206
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Sztokholm",2023,"pierwsza po³owa roku",485452,0.0255
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Dublin",2024,"pierwsza po³owa roku",390303,0.0181
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Dublin",2023,"pierwsza po³owa roku",416086,0.0219
